config,B,T_kv,A_mean_ms,A_std_ms,B_mean_ms,B_std_ms,C_mean_ms,C_std_ms,D_mean_ms,D_std_ms,E_mean_ms,E_std_ms,C_vs_B_speedup,C_vs_B_pct,D_vs_B_speedup,D_vs_B_pct,E_vs_B_speedup,E_vs_B_pct,B_vs_A_speedup,C_vs_A_speedup,D_vs_A_speedup,E_vs_A_speedup
qwen25_05b,1,2048,0.3046,0.001,0.1185,0.0076,0.1113,0.0009,0.0818,0.0006,0.0812,0.0005,1.065,6.08,1.449,30.97,1.459,31.48,2.57,2.737,3.724,3.751
qwen25_05b,2,2048,0.3273,0.0138,0.1175,0.0011,0.1148,0.0032,0.0812,0.0007,0.0808,0.0022,1.024,2.3,1.447,30.89,1.454,31.23,2.786,2.851,4.031,4.051
qwen25_05b,4,2048,0.412,0.0532,0.1166,0.0006,0.1266,0.0069,0.0863,0.0027,0.0835,0.0004,0.921,-8.58,1.351,25.99,1.396,28.39,3.533,3.254,4.774,4.934
qwen25_05b,8,2048,0.5552,0.0085,0.1304,0.001,0.1303,0.0018,0.1117,0.0209,0.0904,0.0004,1.001,0.08,1.167,14.34,1.442,30.67,4.258,4.261,4.97,6.142
qwen25_05b,16,2048,1.0467,0.0359,0.1778,0.0086,0.1563,0.0077,0.1035,0.0005,0.1178,0.0237,1.138,12.09,1.718,41.79,1.509,33.75,5.887,6.697,10.113,8.885
qwen25_05b,1,4096,0.4353,0.0015,0.1902,0.0154,0.1778,0.0002,0.121,0.0006,0.1218,0.0015,1.07,6.52,1.572,36.38,1.562,35.96,2.289,2.448,3.598,3.574
qwen25_05b,2,4096,0.498,0.0028,0.1792,0.0007,0.179,0.0004,0.1207,0.0005,0.1222,0.0019,1.001,0.11,1.485,32.65,1.466,31.81,2.779,2.782,4.126,4.075
qwen25_05b,4,4096,0.6592,0.0079,0.1865,0.0009,0.1873,0.0021,0.1302,0.0007,0.1306,0.0008,0.996,-0.43,1.432,30.19,1.428,29.97,3.535,3.519,5.063,5.047
qwen25_05b,8,4096,1.0935,0.0236,0.218,0.0197,0.2044,0.006,0.1415,0.0003,0.1415,0.0008,1.067,6.24,1.541,35.09,1.541,35.09,5.016,5.35,7.728,7.728
qwen25_05b,16,4096,1.8868,0.135,0.2617,0.0025,0.2391,0.0061,0.1717,0.0004,0.1758,0.0029,1.095,8.64,1.524,34.39,1.489,32.82,7.21,7.891,10.989,10.733
qwen25_05b,1,8192,0.7468,0.0048,0.3108,0.0007,0.31,0.0002,0.1949,0.0002,0.1956,0.0004,1.003,0.26,1.595,37.29,1.589,37.07,2.403,2.409,3.832,3.818
qwen25_05b,2,8192,0.8755,0.0027,0.3148,0.0034,0.3117,0.0012,0.1962,0.0005,0.196,0.0005,1.01,0.98,1.604,37.67,1.606,37.74,2.781,2.809,4.462,4.467
qwen25_05b,4,8192,1.2927,0.043,0.328,0.0013,0.3427,0.0189,0.2295,0.0045,0.2184,0.0079,0.957,-4.48,1.429,30.03,1.502,33.41,3.941,3.772,5.633,5.919
qwen25_05b,8,8192,2.06,0.0507,0.3582,0.0103,0.3521,0.0015,0.2381,0.0008,0.2405,0.0009,1.017,1.7,1.504,33.53,1.489,32.86,5.751,5.851,8.652,8.565
qwen25_05b,16,8192,3.7384,0.2172,0.4194,0.0008,0.4454,0.0034,0.3147,0.0005,0.316,0.0017,0.942,-6.2,1.333,24.96,1.327,24.65,8.914,8.393,11.879,11.83
qwen25_05b,1,16384,1.3765,0.0077,0.5723,0.0012,0.5725,0.0003,0.345,0.0046,0.3425,0.0005,1.0,-0.03,1.659,39.72,1.671,40.15,2.405,2.404,3.99,4.019
qwen25_05b,2,16384,1.7585,0.0048,0.575,0.0008,0.5731,0.0018,0.3398,0.0011,0.3394,0.0005,1.003,0.33,1.692,40.9,1.694,40.97,3.058,3.068,5.175,5.181
qwen25_05b,4,16384,2.5241,0.1007,0.6261,0.0272,0.6104,0.0026,0.3768,0.0013,0.3962,0.0288,1.026,2.51,1.662,39.82,1.58,36.72,4.031,4.135,6.699,6.371
qwen25_05b,8,16384,3.9083,0.0882,0.6939,0.0158,0.6932,0.002,0.4437,0.0022,0.446,0.0038,1.001,0.1,1.564,36.06,1.556,35.73,5.632,5.638,8.808,8.763
qwen25_05b,16,16384,7.2651,0.1916,0.8019,0.0216,0.8533,0.0082,0.5771,0.0009,0.5744,0.0026,0.94,-6.41,1.39,28.03,1.396,28.37,9.06,8.514,12.589,12.648
qwen25_05b,1,32768,2.8177,0.0089,1.1021,0.0065,1.1375,0.0295,0.6491,0.001,0.6502,0.0017,0.969,-3.21,1.698,41.1,1.695,41.0,2.557,2.477,4.341,4.334
qwen25_05b,2,32768,3.4212,0.0265,1.1029,0.0042,1.1075,0.005,0.6541,0.0054,0.6502,0.0058,0.996,-0.42,1.686,40.69,1.696,41.05,3.102,3.089,5.23,5.262
qwen25_05b,4,32768,4.9269,0.1189,1.1657,0.0072,1.1749,0.0052,0.7201,0.0026,0.7172,0.0025,0.992,-0.79,1.619,38.23,1.625,38.47,4.227,4.193,6.842,6.87
qwen25_05b,8,32768,8.1884,0.1431,1.2954,0.0021,1.3018,0.0075,0.8334,0.0049,0.8208,0.0013,0.995,-0.49,1.554,35.66,1.578,36.64,6.321,6.29,9.825,9.976
qwen25_05b,16,32768,15.8831,0.2119,1.7729,0.0301,1.7096,0.0145,1.156,0.0047,1.1606,0.0004,1.037,3.57,1.534,34.8,1.528,34.54,8.959,9.291,13.74,13.685
qwen25_7b,1,2048,0.5245,0.0037,0.1261,0.001,0.1248,0.0005,0.1347,0.0016,0.1332,0.0005,1.01,1.03,0.936,-6.82,0.947,-5.63,4.159,4.203,3.894,3.938
qwen25_7b,2,2048,0.6686,0.0024,0.1385,0.0012,0.1373,0.0007,0.1443,0.0033,0.1417,0.0027,1.009,0.87,0.96,-4.19,0.977,-2.31,4.827,4.87,4.633,4.718
qwen25_7b,4,2048,1.0743,0.0094,0.1588,0.0004,0.1544,0.0008,0.1554,0.0005,0.1599,0.0087,1.028,2.77,1.022,2.14,0.993,-0.69,6.765,6.958,6.913,6.719
qwen25_7b,8,2048,1.7921,0.1384,0.2035,0.0015,0.2078,0.0028,0.1839,0.0007,0.1867,0.0096,0.979,-2.11,1.107,9.63,1.09,8.26,8.806,8.624,9.745,9.599
qwen25_7b,16,2048,3.3487,0.0668,0.3118,0.0015,0.3104,0.0007,0.3197,0.0014,0.3234,0.0007,1.005,0.45,0.975,-2.53,0.964,-3.72,10.74,10.788,10.475,10.355
qwen25_7b,1,4096,0.9323,0.0046,0.208,0.0009,0.2179,0.0239,0.2238,0.0009,0.2235,0.0006,0.955,-4.76,0.929,-7.6,0.931,-7.45,4.482,4.279,4.166,4.171
qwen25_7b,2,4096,1.2922,0.0423,0.2312,0.0014,0.2282,0.0004,0.2332,0.0016,0.2336,0.0017,1.013,1.3,0.991,-0.87,0.99,-1.04,5.589,5.663,5.541,5.532
qwen25_7b,4,4096,1.9578,0.0734,0.2895,0.0276,0.2634,0.0004,0.2643,0.0009,0.2631,0.0018,1.099,9.02,1.095,8.7,1.1,9.12,6.763,7.433,7.407,7.441
qwen25_7b,8,4096,3.4343,0.06,0.3693,0.0117,0.3785,0.0246,0.3159,0.0019,0.3175,0.001,0.976,-2.49,1.169,14.46,1.163,14.03,9.299,9.073,10.871,10.817
qwen25_7b,16,4096,6.8402,0.2757,0.5741,0.0281,0.5789,0.0176,0.5986,0.0053,0.5755,0.0022,0.992,-0.84,0.959,-4.27,0.998,-0.24,11.915,11.816,11.427,11.886
qwen25_7b,1,8192,1.8241,0.0132,0.3706,0.0164,0.3637,0.0019,0.3982,0.0011,0.418,0.0276,1.019,1.86,0.931,-7.45,0.887,-12.79,4.922,5.015,4.581,4.364
qwen25_7b,2,8192,2.4179,0.0273,0.4225,0.0019,0.427,0.0261,0.4197,0.0041,0.423,0.0022,0.989,-1.07,1.007,0.66,0.999,-0.12,5.723,5.663,5.761,5.716
qwen25_7b,4,8192,3.8006,0.0759,0.4875,0.0031,0.4807,0.0016,0.4796,0.0026,0.4795,0.0025,1.014,1.39,1.016,1.62,1.017,1.64,7.796,7.906,7.925,7.926
qwen25_7b,8,8192,6.8868,0.2037,0.6197,0.0194,0.6473,0.001,0.6041,0.0027,0.5964,0.0012,0.957,-4.45,1.026,2.52,1.039,3.76,11.113,10.639,11.4,11.547
qwen25_7b,16,8192,14.198,0.1901,1.2949,0.0152,1.2277,0.0109,1.1781,0.0065,1.1657,0.0105,1.055,5.19,1.099,9.02,1.111,9.98,10.965,11.565,12.052,12.18
qwen25_7b,1,16384,3.5109,0.0097,0.6926,0.0018,0.6897,0.0032,0.7556,0.0012,0.7552,0.0033,1.004,0.42,0.917,-9.1,0.917,-9.04,5.069,5.09,4.647,4.649
qwen25_7b,2,16384,4.8625,0.1233,0.7828,0.0018,0.7797,0.0036,0.7981,0.0055,0.7982,0.0088,1.004,0.4,0.981,-1.95,0.981,-1.97,6.212,6.236,6.093,6.092
qwen25_7b,4,16384,7.9275,0.1147,0.9174,0.0233,0.9378,0.008,0.9045,0.0048,0.8982,0.0035,0.978,-2.22,1.014,1.41,1.021,2.09,8.641,8.453,8.765,8.826
qwen25_7b,8,16384,15.0036,0.1149,1.3672,0.034,1.3,0.002,1.1846,0.0073,1.1694,0.0038,1.052,4.92,1.154,13.36,1.169,14.47,10.974,11.541,12.666,12.83
qwen25_7b,16,16384,30.2681,0.1694,2.4659,0.0367,2.3887,0.0185,2.5154,0.0221,2.4972,0.0101,1.032,3.13,0.98,-2.01,0.987,-1.27,12.275,12.671,12.033,12.121
qwen25_7b,1,32768,7.087,0.1194,1.3283,0.0166,1.3263,0.0094,1.4616,0.0145,1.4528,0.0042,1.002,0.15,0.909,-10.04,0.914,-9.37,5.335,5.343,4.849,4.878
qwen25_7b,2,32768,10.8189,0.2488,1.5056,0.0164,1.5008,0.0021,1.5546,0.0151,1.565,0.0353,1.003,0.32,0.968,-3.25,0.962,-3.95,7.186,7.209,6.959,6.913
qwen25_7b,4,32768,17.4825,0.2963,1.8053,0.0127,1.8073,0.0073,1.7417,0.0057,1.7439,0.0076,0.999,-0.11,1.037,3.52,1.035,3.4,9.684,9.673,10.038,10.025
qwen25_7b,8,32768,31.6327,0.1814,2.6614,0.0254,2.5639,0.01,2.548,0.0044,2.5234,0.0158,1.038,3.66,1.045,4.26,1.055,5.19,11.886,12.338,12.415,12.536
qwen25_7b,16,32768,60.9493,0.1742,4.8126,0.122,4.7258,0.0225,4.9311,0.0363,4.9161,0.0429,1.018,1.8,0.976,-2.46,0.979,-2.15,12.665,12.897,12.36,12.398
