config,T_kv,mode,pipeline,flops,bytes,arithmetic_intensity
qwen25_05b,2048,decode,P0,7483392,1050368,7.1245
qwen25_05b,2048,decode,P1,7483392,9733888,0.7688
qwen25_05b,2048,decode,P3,7483392,296704,25.2217
qwen25_05b,2048,decode,P5,7483392,296704,25.2217
qwen25_05b,2048,prefill,P0,15325986816,4718592,3248.0
qwen25_05b,2048,prefill,P1,15325986816,13402112,1143.5501
qwen25_05b,2048,prefill,P3,15325986816,3964928,3865.3884
qwen25_05b,2048,prefill,P5,15325986816,3964928,3865.3884
qwen25_05b,4096,decode,P0,14966784,2098944,7.1306
qwen25_05b,4096,decode,P1,14966784,19465984,0.7689
qwen25_05b,4096,decode,P3,14966784,591616,25.2981
qwen25_05b,4096,decode,P5,14966784,591616,25.2981
qwen25_05b,4096,prefill,P0,61303947264,9437184,6496.0
qwen25_05b,4096,prefill,P1,61303947264,26804224,2287.1002
qwen25_05b,4096,prefill,P3,61303947264,7929856,7730.7769
qwen25_05b,4096,prefill,P5,61303947264,7929856,7730.7769
qwen25_05b,8192,decode,P0,29933568,4196096,7.1337
qwen25_05b,8192,decode,P1,29933568,38930176,0.7689
qwen25_05b,8192,decode,P3,29933568,1181440,25.3365
qwen25_05b,8192,decode,P5,29933568,1181440,25.3365
qwen25_05b,8192,prefill,P0,245215789056,18874368,12992.0
qwen25_05b,8192,prefill,P1,245215789056,53608448,4574.2005
qwen25_05b,8192,prefill,P3,245215789056,15859712,15461.5537
qwen25_05b,8192,prefill,P5,245215789056,15859712,15461.5537
qwen25_05b,16384,decode,P0,59867136,8390400,7.1352
qwen25_05b,16384,decode,P1,59867136,77858560,0.7689
qwen25_05b,16384,decode,P3,59867136,2361088,25.3557
qwen25_05b,16384,decode,P5,59867136,2361088,25.3557
qwen25_05b,16384,prefill,P0,980863156224,37748736,25984.0
qwen25_05b,16384,prefill,P1,980863156224,107216896,9148.401
qwen25_05b,16384,prefill,P3,980863156224,31719424,30923.1074
qwen25_05b,16384,prefill,P5,980863156224,31719424,30923.1074
qwen25_1.8b,2048,decode,P0,16941056,2101248,8.0624
qwen25_1.8b,2048,decode,P1,16941056,21565440,0.7856
qwen25_1.8b,2048,decode,P3,16941056,593920,28.5241
qwen25_1.8b,2048,decode,P5,16941056,593920,28.5241
qwen25_1.8b,2048,prefill,P0,34695282688,10485760,3308.8
qwen25_1.8b,2048,prefill,P1,34695282688,29949952,1158.442
qwen25_1.8b,2048,prefill,P3,34695282688,8978432,3864.292
qwen25_1.8b,2048,prefill,P5,34695282688,8978432,3864.292
qwen25_1.8b,4096,decode,P0,33882112,4198400,8.0702
qwen25_1.8b,4096,decode,P1,33882112,43126784,0.7856
qwen25_1.8b,4096,decode,P3,33882112,1183744,28.6228
qwen25_1.8b,4096,decode,P5,33882112,1183744,28.6228
qwen25_1.8b,4096,prefill,P0,138781130752,20971520,6617.6
qwen25_1.8b,4096,prefill,P1,138781130752,59899904,2316.884
qwen25_1.8b,4096,prefill,P3,138781130752,17956864,7728.5839
qwen25_1.8b,4096,prefill,P5,138781130752,17956864,7728.5839
qwen25_1.8b,8192,decode,P0,67764224,8392704,8.0742
qwen25_1.8b,8192,decode,P1,67764224,86249472,0.7857
qwen25_1.8b,8192,decode,P3,67764224,2363392,28.6724
qwen25_1.8b,8192,decode,P5,67764224,2363392,28.6724
qwen25_1.8b,8192,prefill,P0,555124523008,41943040,13235.2
qwen25_1.8b,8192,prefill,P1,555124523008,119799808,4633.7681
qwen25_1.8b,8192,prefill,P3,555124523008,35913728,15457.1679
qwen25_1.8b,8192,prefill,P5,555124523008,35913728,15457.1679
qwen25_1.8b,16384,decode,P0,135528448,16781312,8.0762
qwen25_1.8b,16384,decode,P1,135528448,172494848,0.7857
qwen25_1.8b,16384,decode,P3,135528448,4722688,28.6973
qwen25_1.8b,16384,decode,P5,135528448,4722688,28.6973
qwen25_1.8b,16384,prefill,P0,2220498092032,83886080,26470.4
qwen25_1.8b,16384,prefill,P1,2220498092032,239599616,9267.5361
qwen25_1.8b,16384,prefill,P3,2220498092032,71827456,30914.3358
qwen25_1.8b,16384,prefill,P5,2220498092032,71827456,30914.3358
qwen25_7b,2048,decode,P0,29646848,4201472,7.0563
qwen25_7b,2048,decode,P1,29646848,38935552,0.7614
qwen25_7b,2048,decode,P3,29646848,1186816,24.9802
qwen25_7b,2048,decode,P5,29646848,1186816,24.9802
qwen25_7b,2048,prefill,P0,60716744704,18874368,3216.8889
qwen25_7b,2048,prefill,P1,60716744704,53608448,1132.5966
qwen25_7b,2048,prefill,P3,60716744704,15859712,3828.3636
qwen25_7b,2048,prefill,P5,60716744704,15859712,3828.3636
qwen25_7b,4096,decode,P0,59293696,8395776,7.0623
qwen25_7b,4096,decode,P1,59293696,77863936,0.7615
qwen25_7b,4096,decode,P3,59293696,2366464,25.0558
qwen25_7b,4096,decode,P5,59293696,2366464,25.0558
qwen25_7b,4096,prefill,P0,242866978816,37748736,6433.7778
qwen25_7b,4096,prefill,P1,242866978816,107216896,2265.1932
qwen25_7b,4096,prefill,P3,242866978816,31719424,7656.7273
qwen25_7b,4096,prefill,P5,242866978816,31719424,7656.7273
qwen25_7b,8192,decode,P0,118587392,16784384,7.0653
qwen25_7b,8192,decode,P1,118587392,155720704,0.7615
qwen25_7b,8192,decode,P3,118587392,4725760,25.0938
qwen25_7b,8192,decode,P5,118587392,4725760,25.0938
qwen25_7b,8192,prefill,P0,971467915264,75497472,12867.5556
qwen25_7b,8192,prefill,P1,971467915264,214433792,4530.3863
qwen25_7b,8192,prefill,P3,971467915264,63438848,15313.4545
qwen25_7b,8192,prefill,P5,971467915264,63438848,15313.4545
qwen25_7b,16384,decode,P0,237174784,33561600,7.0668
qwen25_7b,16384,decode,P1,237174784,311434240,0.7616
qwen25_7b,16384,decode,P3,237174784,9444352,25.1129
qwen25_7b,16384,decode,P5,237174784,9444352,25.1129
qwen25_7b,16384,prefill,P0,3885871661056,150994944,25735.1111
qwen25_7b,16384,prefill,P1,3885871661056,428867584,9060.7726
qwen25_7b,16384,prefill,P3,3885871661056,126877696,30626.9091
qwen25_7b,16384,prefill,P5,3885871661056,126877696,30626.9091
mistral_7b,2048,decode,P0,33882112,8396800,4.0351
mistral_7b,2048,decode,P1,33882112,52699136,0.6429
mistral_7b,2048,decode,P3,33882112,2367488,14.3114
mistral_7b,2048,decode,P5,33882112,2367488,14.3114
mistral_7b,2048,prefill,P0,69390565376,25165824,2757.3333
mistral_7b,2048,prefill,P1,69390565376,69468160,998.883
mistral_7b,2048,prefill,P3,69390565376,19136512,3626.0822
mistral_7b,2048,prefill,P5,69390565376,19136512,3626.0822
mistral_7b,4096,decode,P0,67764224,16785408,4.0371
mistral_7b,4096,decode,P1,67764224,105390080,0.643
mistral_7b,4096,decode,P3,67764224,4726784,14.3362
mistral_7b,4096,decode,P5,67764224,4726784,14.3362
mistral_7b,4096,prefill,P0,277562261504,50331648,5514.6667
mistral_7b,4096,prefill,P1,277562261504,138936320,1997.766
mistral_7b,4096,prefill,P3,277562261504,38273024,7252.1644
mistral_7b,4096,prefill,P5,277562261504,38273024,7252.1644
mistral_7b,8192,decode,P0,135528448,33562624,4.0381
mistral_7b,8192,decode,P1,135528448,210771968,0.643
mistral_7b,8192,decode,P3,135528448,9445376,14.3487
mistral_7b,8192,decode,P5,135528448,9445376,14.3487
mistral_7b,8192,prefill,P0,1110249046016,100663296,11029.3333
mistral_7b,8192,prefill,P1,1110249046016,277872640,3995.5321
mistral_7b,8192,prefill,P3,1110249046016,76546048,14504.3288
mistral_7b,8192,prefill,P5,1110249046016,76546048,14504.3288
mistral_7b,16384,decode,P0,271056896,67117056,4.0386
mistral_7b,16384,decode,P1,271056896,421535744,0.643
mistral_7b,16384,decode,P3,271056896,18882560,14.3549
mistral_7b,16384,decode,P5,271056896,18882560,14.3549
mistral_7b,16384,prefill,P0,4440996184064,201326592,22058.6667
mistral_7b,16384,prefill,P1,4440996184064,555745280,7991.0642
mistral_7b,16384,prefill,P3,4440996184064,153092096,29008.6575
mistral_7b,16384,prefill,P5,4440996184064,153092096,29008.6575
llama31_8b,2048,decode,P0,33882112,8396800,4.0351
llama31_8b,2048,decode,P1,33882112,52699136,0.6429
llama31_8b,2048,decode,P3,33882112,2367488,14.3114
llama31_8b,2048,decode,P5,33882112,2367488,14.3114
llama31_8b,2048,prefill,P0,69390565376,25165824,2757.3333
llama31_8b,2048,prefill,P1,69390565376,69468160,998.883
llama31_8b,2048,prefill,P3,69390565376,19136512,3626.0822
llama31_8b,2048,prefill,P5,69390565376,19136512,3626.0822
llama31_8b,4096,decode,P0,67764224,16785408,4.0371
llama31_8b,4096,decode,P1,67764224,105390080,0.643
llama31_8b,4096,decode,P3,67764224,4726784,14.3362
llama31_8b,4096,decode,P5,67764224,4726784,14.3362
llama31_8b,4096,prefill,P0,277562261504,50331648,5514.6667
llama31_8b,4096,prefill,P1,277562261504,138936320,1997.766
llama31_8b,4096,prefill,P3,277562261504,38273024,7252.1644
llama31_8b,4096,prefill,P5,277562261504,38273024,7252.1644
llama31_8b,8192,decode,P0,135528448,33562624,4.0381
llama31_8b,8192,decode,P1,135528448,210771968,0.643
llama31_8b,8192,decode,P3,135528448,9445376,14.3487
llama31_8b,8192,decode,P5,135528448,9445376,14.3487
llama31_8b,8192,prefill,P0,1110249046016,100663296,11029.3333
llama31_8b,8192,prefill,P1,1110249046016,277872640,3995.5321
llama31_8b,8192,prefill,P3,1110249046016,76546048,14504.3288
llama31_8b,8192,prefill,P5,1110249046016,76546048,14504.3288
llama31_8b,16384,decode,P0,271056896,67117056,4.0386
llama31_8b,16384,decode,P1,271056896,421535744,0.643
llama31_8b,16384,decode,P3,271056896,18882560,14.3549
llama31_8b,16384,decode,P5,271056896,18882560,14.3549
llama31_8b,16384,prefill,P0,4440996184064,201326592,22058.6667
llama31_8b,16384,prefill,P1,4440996184064,555745280,7991.0642
llama31_8b,16384,prefill,P3,4440996184064,153092096,29008.6575
llama31_8b,16384,prefill,P5,4440996184064,153092096,29008.6575
