config,T_kv,B,pipeline,mean_ms,total_tps,oom
qwen25_05b,8192,1,P0,0.0686,14577.3,False
qwen25_05b,8192,1,P5,0.1967,5083.9,False
qwen25_05b,8192,2,P0,0.1138,17574.7,False
qwen25_05b,8192,2,P5,0.1978,10111.2,False
qwen25_05b,8192,4,P0,0.1938,20639.8,False
qwen25_05b,8192,4,P5,0.1976,20242.9,False
qwen25_05b,8192,8,P0,0.3527,22682.2,False
qwen25_05b,8192,8,P5,0.1971,40588.5,False
qwen25_05b,8192,16,P0,0.7234,22117.8,False
qwen25_05b,8192,16,P5,0.2286,69991.3,False
qwen25_05b,8192,32,P0,1.4199,22536.8,False
qwen25_05b,8192,32,P5,0.4612,69384.2,False
qwen25_05b,8192,64,P0,2.7052,23658.1,False
qwen25_05b,8192,64,P5,0.6975,91756.3,False
qwen25_05b,8192,128,P0,5.3386,23976.3,False
qwen25_05b,8192,128,P5,1.1972,106916.1,False
qwen25_05b,8192,256,P0,10.5573,24248.6,False
qwen25_05b,8192,256,P5,2.2902,111780.6,False
qwen25_1.8b,8192,1,P0,0.1254,7974.5,False
qwen25_1.8b,8192,1,P5,0.3426,2918.9,False
qwen25_1.8b,8192,2,P0,0.2155,9280.7,False
qwen25_1.8b,8192,2,P5,0.3448,5800.5,False
qwen25_1.8b,8192,4,P0,0.3913,10222.3,False
qwen25_1.8b,8192,4,P5,0.3499,11431.8,False
qwen25_1.8b,8192,8,P0,0.7428,10770.1,False
qwen25_1.8b,8192,8,P5,0.3494,22896.4,False
qwen25_1.8b,8192,16,P0,1.4956,10698.0,False
qwen25_1.8b,8192,16,P5,0.4725,33862.4,False
qwen25_1.8b,8192,32,P0,2.926,10936.4,False
qwen25_1.8b,8192,32,P5,0.8939,35798.2,False
qwen25_1.8b,8192,64,P0,5.816,11004.1,False
qwen25_1.8b,8192,64,P5,1.7325,36940.8,False
qwen25_1.8b,8192,128,P0,11.6246,11011.1,False
qwen25_1.8b,8192,128,P5,3.426,37361.4,False
qwen25_1.8b,8192,256,P0,23.3051,10984.7,False
qwen25_1.8b,8192,256,P5,6.7325,38024.5,False
qwen25_7b,8192,1,P0,0.1957,5109.9,False
qwen25_7b,8192,1,P5,0.3509,2849.8,False
qwen25_7b,8192,2,P0,0.3505,5706.1,False
qwen25_7b,8192,2,P5,0.3495,5722.5,False
qwen25_7b,8192,4,P0,0.6602,6058.8,False
qwen25_7b,8192,4,P5,0.35,11428.6,False
qwen25_7b,8192,8,P0,1.3546,5905.8,False
qwen25_7b,8192,8,P5,0.4717,16959.9,False
qwen25_7b,8192,16,P0,2.6705,5991.4,False
qwen25_7b,8192,16,P5,0.8902,17973.5,False
qwen25_7b,8192,32,P0,5.1673,6192.8,False
qwen25_7b,8192,32,P5,1.6879,18958.5,False
qwen25_7b,8192,64,P0,10.2489,6244.6,False
qwen25_7b,8192,64,P5,2.9907,21399.7,False
qwen25_7b,8192,128,P0,20.4528,6258.3,False
qwen25_7b,8192,128,P5,5.8819,21761.7,False
qwen25_7b,8192,256,P0,41.1937,6214.5,False
qwen25_7b,8192,256,P5,11.6549,21965.0,False
mistral_7b,8192,1,P0,0.2298,4351.6,False
mistral_7b,8192,1,P5,0.3517,2843.3,False
mistral_7b,8192,2,P0,0.4008,4990.0,False
mistral_7b,8192,2,P5,0.3508,5701.3,False
mistral_7b,8192,4,P0,0.7618,5250.7,False
mistral_7b,8192,4,P5,0.4063,9844.9,False
mistral_7b,8192,8,P0,1.5323,5220.9,False
mistral_7b,8192,8,P5,0.4793,16691.0,False
mistral_7b,8192,16,P0,3.0232,5292.4,False
mistral_7b,8192,16,P5,0.9136,17513.1,False
mistral_7b,8192,32,P0,6.0024,5331.2,False
mistral_7b,8192,32,P5,1.7746,18032.2,False
mistral_7b,8192,64,P0,11.9708,5346.3,False
mistral_7b,8192,64,P5,3.4777,18403.0,False
mistral_7b,8192,128,P0,23.9195,5351.3,False
mistral_7b,8192,128,P5,6.8031,18815.0,False
mistral_7b,8192,256,P0,47.9791,5335.7,False
mistral_7b,8192,256,P5,13.486,18982.6,False
llama31_8b,8192,1,P0,0.2312,4325.3,False
llama31_8b,8192,1,P5,0.3522,2839.3,False
llama31_8b,8192,2,P0,0.4228,4730.4,False
llama31_8b,8192,2,P5,0.3514,5691.5,False
llama31_8b,8192,4,P0,0.7645,5232.2,False
llama31_8b,8192,4,P5,0.4157,9622.3,False
llama31_8b,8192,8,P0,1.5286,5233.5,False
llama31_8b,8192,8,P5,0.4737,16888.3,False
llama31_8b,8192,16,P0,3.006,5322.7,False
llama31_8b,8192,16,P5,0.915,17486.3,False
llama31_8b,8192,32,P0,5.9916,5340.8,False
llama31_8b,8192,32,P5,1.7638,18142.6,False
llama31_8b,8192,64,P0,11.9791,5342.6,False
llama31_8b,8192,64,P5,3.4745,18419.9,False
llama31_8b,8192,128,P0,23.9176,5351.7,False
llama31_8b,8192,128,P5,6.7873,18858.8,False
llama31_8b,8192,256,P0,48.0979,5322.5,False
llama31_8b,8192,256,P5,13.4973,18966.8,False
nemotron3_nano,8192,1,P0,0.2251,4442.5,False
nemotron3_nano,8192,1,P5,0.3517,2843.3,False
nemotron3_nano,8192,2,P0,0.4055,4932.2,False
nemotron3_nano,8192,2,P5,0.3501,5712.7,False
nemotron3_nano,8192,4,P0,0.736,5434.8,False
nemotron3_nano,8192,4,P5,0.3495,11444.9,False
nemotron3_nano,8192,8,P0,1.4734,5429.6,False
nemotron3_nano,8192,8,P5,0.4326,18492.8,False
nemotron3_nano,8192,16,P0,2.9115,5495.4,False
nemotron3_nano,8192,16,P5,0.9032,17714.8,False
nemotron3_nano,8192,32,P0,5.7494,5565.8,False
nemotron3_nano,8192,32,P5,1.7246,18555.0,False
nemotron3_nano,8192,64,P0,11.5322,5549.7,False
nemotron3_nano,8192,64,P5,3.3771,18951.2,False
nemotron3_nano,8192,128,P0,23.035,5556.8,False
nemotron3_nano,8192,128,P5,6.6363,19287.9,False
nemotron3_nano,8192,256,P0,46.3586,5522.2,False
nemotron3_nano,8192,256,P5,12.9982,19695.0,False
deepseek_mla,8192,1,P0,0.114,8771.9,False
deepseek_mla,8192,1,P5,0.3521,2840.1,False
deepseek_mla,8192,2,P0,0.2172,9208.1,False
deepseek_mla,8192,2,P5,0.3538,5652.9,False
deepseek_mla,8192,4,P0,0.3882,10304.0,False
deepseek_mla,8192,4,P5,0.3518,11370.1,False
deepseek_mla,8192,8,P0,0.7352,10881.4,False
deepseek_mla,8192,8,P5,0.3534,22637.2,False
deepseek_mla,8192,16,P0,1.4743,10852.6,False
deepseek_mla,8192,16,P5,0.4099,39033.9,False
deepseek_mla,8192,32,P0,2.9092,10999.6,False
deepseek_mla,8192,32,P5,0.8924,35858.4,False
deepseek_mla,8192,64,P0,5.7541,11122.5,False
deepseek_mla,8192,64,P5,1.721,37187.7,False
deepseek_mla,8192,128,P0,11.5262,11105.1,False
deepseek_mla,8192,128,P5,3.3705,37976.6,False
deepseek_mla,8192,256,P0,23.0351,11113.5,False
deepseek_mla,8192,256,P5,6.6107,38725.1,False
gemma3_4b,8192,1,P0,0.139,7194.2,False
gemma3_4b,8192,1,P5,0.5401,1851.5,False
gemma3_4b,8192,2,P0,0.2343,8536.1,False
gemma3_4b,8192,2,P5,0.5438,3677.8,False
gemma3_4b,8192,4,P0,0.4265,9378.7,False
gemma3_4b,8192,4,P5,0.6462,6190.0,False
gemma3_4b,8192,8,P0,0.8085,9894.9,False
gemma3_4b,8192,8,P5,0.66,12121.2,False
gemma3_4b,8192,16,P0,1.5739,10165.8,False
gemma3_4b,8192,16,P5,0.6683,23941.3,False
gemma3_4b,8192,32,P0,3.0864,10368.1,False
gemma3_4b,8192,32,P5,0.7869,40665.9,False
gemma3_4b,8192,64,P0,6.1395,10424.3,False
gemma3_4b,8192,64,P5,1.4875,43025.2,False
gemma3_4b,8192,128,P0,12.2457,10452.6,False
gemma3_4b,8192,128,P5,2.907,44031.6,False
gemma3_4b,8192,256,P0,24.2793,10544.0,False
gemma3_4b,8192,256,P5,5.6705,45145.9,False
gemma3_12b,8192,1,P0,0.2455,4073.3,False
gemma3_12b,8192,1,P5,0.5387,1856.3,False
gemma3_12b,8192,2,P0,0.4273,4680.6,False
gemma3_12b,8192,2,P5,0.6448,3101.7,False
gemma3_12b,8192,4,P0,0.8058,4964.0,False
gemma3_12b,8192,4,P5,0.656,6097.6,False
gemma3_12b,8192,8,P0,1.5685,5100.4,False
gemma3_12b,8192,8,P5,0.6643,12042.8,False
gemma3_12b,8192,16,P0,3.084,5188.1,False
gemma3_12b,8192,16,P5,0.7911,20225.0,False
gemma3_12b,8192,32,P0,6.1366,5214.6,False
gemma3_12b,8192,32,P5,1.4843,21559.0,False
gemma3_12b,8192,64,P0,12.2206,5237.1,False
gemma3_12b,8192,64,P5,2.8776,22240.8,False
gemma3_12b,8192,128,P0,24.3365,5259.6,False
gemma3_12b,8192,128,P5,5.6957,22473.1,False
gemma3_12b,8192,256,P0,48.6917,5257.6,False
gemma3_12b,8192,256,P5,11.2636,22728.1,False
gemma3n_e4b,8192,1,P0,0.1343,7446.0,False
gemma3n_e4b,8192,1,P5,0.5378,1859.4,False
gemma3n_e4b,8192,2,P0,0.232,8620.7,False
gemma3n_e4b,8192,2,P5,0.5392,3709.2,False
gemma3n_e4b,8192,4,P0,0.4066,9837.7,False
gemma3n_e4b,8192,4,P5,0.5532,7230.7,False
gemma3n_e4b,8192,8,P0,0.7638,10473.9,False
gemma3n_e4b,8192,8,P5,0.6459,12385.8,False
gemma3n_e4b,8192,16,P0,1.4852,10773.0,False
gemma3n_e4b,8192,16,P5,0.6556,24405.1,False
gemma3n_e4b,8192,32,P0,2.9204,10957.4,False
gemma3n_e4b,8192,32,P5,0.7688,41623.3,False
gemma3n_e4b,8192,64,P0,5.8069,11021.4,False
gemma3n_e4b,8192,64,P5,1.4685,43581.9,False
gemma3n_e4b,8192,128,P0,11.5639,11068.9,False
gemma3n_e4b,8192,128,P5,2.8596,44761.5,False
gemma3n_e4b,8192,256,P0,23.0239,11118.9,False
gemma3n_e4b,8192,256,P5,5.5968,45740.4,False
deepseek_r1_7b,8192,1,P0,0.1999,5002.5,False
deepseek_r1_7b,8192,1,P5,0.3484,2870.3,False
deepseek_r1_7b,8192,2,P0,0.3496,5720.8,False
deepseek_r1_7b,8192,2,P5,0.3483,5742.2,False
deepseek_r1_7b,8192,4,P0,0.6587,6072.6,False
deepseek_r1_7b,8192,4,P5,0.349,11461.3,False
deepseek_r1_7b,8192,8,P0,1.3422,5960.4,False
deepseek_r1_7b,8192,8,P5,0.467,17130.6,False
deepseek_r1_7b,8192,16,P0,2.6623,6009.8,False
deepseek_r1_7b,8192,16,P5,0.891,17957.4,False
deepseek_r1_7b,8192,32,P0,5.145,6219.6,False
deepseek_r1_7b,8192,32,P5,1.6764,19088.5,False
deepseek_r1_7b,8192,64,P0,10.253,6242.1,False
deepseek_r1_7b,8192,64,P5,2.9961,21361.1,False
deepseek_r1_7b,8192,128,P0,20.5107,6240.6,False
deepseek_r1_7b,8192,128,P5,5.874,21790.9,False
deepseek_r1_7b,8192,256,P0,41.024,6240.2,False
deepseek_r1_7b,8192,256,P5,11.6029,22063.4,False
phi4_14b,8192,1,P0,0.2786,3589.4,False
phi4_14b,8192,1,P5,0.3504,2853.9,False
phi4_14b,8192,2,P0,0.4963,4029.8,False
phi4_14b,8192,2,P5,0.3494,5724.1,False
phi4_14b,8192,4,P0,0.9489,4215.4,False
phi4_14b,8192,4,P5,0.4739,8440.6,False
phi4_14b,8192,8,P0,2.0346,3932.0,False
phi4_14b,8192,8,P5,0.8867,9022.2,False
phi4_14b,8192,16,P0,3.7842,4228.1,False
phi4_14b,8192,16,P5,1.3145,12171.9,False
phi4_14b,8192,32,P0,7.4794,4278.4,False
phi4_14b,8192,32,P5,2.2059,14506.6,False
phi4_14b,8192,64,P0,15.0036,4265.6,False
phi4_14b,8192,64,P5,4.3197,14815.8,False
phi4_14b,8192,128,P0,29.9433,4274.7,False
phi4_14b,8192,128,P5,8.4645,15122.0,False
phi4_14b,8192,256,P0,60.5078,4230.9,False
phi4_14b,8192,256,P5,16.6638,15362.6,False
qwen3_8b,8192,1,P0,0.2331,4290.0,False
qwen3_8b,8192,1,P5,0.3546,2820.1,False
qwen3_8b,8192,2,P0,0.4223,4736.0,False
qwen3_8b,8192,2,P5,0.3511,5696.4,False
qwen3_8b,8192,4,P0,0.7636,5238.3,False
qwen3_8b,8192,4,P5,0.4148,9643.2,False
qwen3_8b,8192,8,P0,1.5242,5248.7,False
qwen3_8b,8192,8,P5,0.4745,16859.9,False
qwen3_8b,8192,16,P0,3.0044,5325.5,False
qwen3_8b,8192,16,P5,0.9154,17478.7,False
qwen3_8b,8192,32,P0,5.9746,5356.0,False
qwen3_8b,8192,32,P5,1.7634,18146.8,False
qwen3_8b,8192,64,P0,12.0025,5332.2,False
qwen3_8b,8192,64,P5,3.4698,18444.9,False
qwen3_8b,8192,128,P0,23.9287,5349.2,False
qwen3_8b,8192,128,P5,6.8221,18762.6,False
qwen3_8b,8192,256,P0,48.2519,5305.5,False
qwen3_8b,8192,256,P5,13.4783,18993.5,False
mistral_small_24b,8192,1,P0,0.2347,4260.8,False
mistral_small_24b,8192,1,P5,0.3527,2835.3,False
mistral_small_24b,8192,2,P0,0.4223,4736.0,False
mistral_small_24b,8192,2,P5,0.3517,5686.7,False
mistral_small_24b,8192,4,P0,0.764,5235.6,False
mistral_small_24b,8192,4,P5,0.417,9592.3,False
mistral_small_24b,8192,8,P0,1.5313,5224.3,False
mistral_small_24b,8192,8,P5,0.4794,16687.5,False
mistral_small_24b,8192,16,P0,3.0209,5296.4,False
mistral_small_24b,8192,16,P5,0.9175,17438.7,False
mistral_small_24b,8192,32,P0,6.0077,5326.5,False
mistral_small_24b,8192,32,P5,1.7695,18084.2,False
mistral_small_24b,8192,64,P0,11.9836,5340.6,False
mistral_small_24b,8192,64,P5,3.4786,18398.2,False
mistral_small_24b,8192,128,P0,23.9335,5348.2,False
mistral_small_24b,8192,128,P5,6.8024,18816.9,False
mistral_small_24b,8192,256,P0,48.1926,5312.0,False
mistral_small_24b,8192,256,P5,13.5071,18953.0,False
